/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670,insitu_rrs_type,insitu_rrs412,insitu_rrs443,insitu_rrs490,insitu_rrs510,insitu_rrs555,insitu_rrs670
/end_header
22668,-64.08500000,-66.55400000,1998-01-31 13:19:00,palmer_lter,S1998031140424.L2_MLAC.R0000021212_64S_64S_66W_66W.hdf_OCVAL_palmer_lter_22668_B5.tar,41.55000000,25,4707,51.16,41.72,0.018,8.842,0.00721000,0.00647700,0.00554300,0.00357000,0.00173200,-999,rrs,0.01305674,0.01054537,0.00870221,0.00623284,0.00218220,-999
21717,-63.96500000,-66.86500000,1998-01-31 18:28:00,palmer_lter,S1998031154323.L2_MLAC.R0000021212_63S_64S_66W_66W.hdf_OCVAL_palmer_lter_21717_B5.tar,0.00000000,25,-7950,46.86,47.59,0.021,9.433,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
22669,-63.96500000,-66.86500000,1998-01-31 18:28:00,palmer_lter,S1998031154323.L2_MLAC.R0000021212_63S_64S_66W_66W.hdf_OCVAL_palmer_lter_22669_B5.tar,3.60000000,25,-7950,46.86,47.59,0.021,9.433,0.00732600,0.00682500,0.00555400,0.00342800,0.00145500,-999,rrs,0.00962379,0.00863445,0.00746221,0.00504579,0.00236869,-999
211319,-63.25240000,-60.00880000,2007-01-13 14:14:00,amlr2007,S2007013163654.L2_LAC.R0000020341_63S_63S_60W_60W.hdf_OCVAL_amlr2007_211319_B5.tar,60.40000000,25,8580,42.06,48.51,0.067,7.801,0.00336800,0.00290600,0.00287400,0.00243000,0.00156200,-999,rrs,0.00445850,0.00371496,0.00400648,0.00341742,0.00196039,-999
211426,-63.25235000,-60.00877000,2007-01-13 14:06:00,amlr2007,S2007013163654.L2_LAC.R0000020341_63S_63S_60W_60W.hdf_OCVAL_amlr2007_211426_B5.tar,0.00000000,25,9060,42.06,48.51,0.067,7.801,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
211416,-63.03129000,-60.38970000,2004-03-12 15:02:00,amlr2004_leg2,S2004072145655.L2_MLAC.R0000020339_63S_63S_61W_60W.hdf_OCVAL_amlr2004_leg2_211416_B5.tar,0.00000000,25,1969,60.39,29.74,0.036,17.032,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
211206,-62.64050000,-59.43060000,2004-03-14 18:00:00,lmg0402,S2004074143938.L2_MLAC.R0000021059_62S_62S_59W_58W.hdf_OCVAL_lmg0402_211206_B5.tar,0.00000000,25,-9736,61.09,22.83,0.075,11.992,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
211330,-62.44342000,-61.64365000,2004-01-17 16:32:00,amlr2004_leg1,S2004017152637.L2_MLAC.R0000020338_62S_62S_61W_61W.hdf_OCVAL_amlr2004_leg1_211330_B5.tar,0.00000000,25,-1955,41.77,42.55,0.098,9.046,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
13231,-62.06100000,-56.32100000,2004-01-28 14:45:00,swao_95-04,S2004028144134.L2_MLAC.R0000021537_61S_62S_56W_56W.hdf_OCVAL_swao_95-04_13231_B5.tar,0.00000000,25,1807,44.44,27.14,0.029,9.724,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
12988,-62.06000000,-56.27900000,2004-01-28 12:45:00,swao_95-04,S2004028144134.L2_MLAC.R0000021537_61S_62S_56W_56W.hdf_OCVAL_swao_95-04_12988_B5.tar,17.80000000,25,9007,44.43,27.20,0.033,9.744,-999,-999,0.00434700,-999,-999,-999,rrs,-999,-999,0.00370346,-999,-999,-999
3973,-61.99700000,-59.99000000,1998-01-10 14:50:00,amlr1998,S1998010145252.L2_MLAC.R0000020333_61S_61S_60W_59W.hdf_OCVAL_amlr1998_3973_B5.tar,0.00000000,25,1999,40.79,30.78,0.018,13.135,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
