/begin_header
/start_date=1930-01-01
/end_date=2017-03-15
/north_latitude=90[deg]
/south_latitude=-90[deg]
/east_longitude=180[deg]
/west_longitude=-180[deg]
! Date processed: 2017-03-15 20:28:37 GMT
! Date archived: 1998-01-01 to 2010-12-31
! Water depth: 30 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  70 
!  Maximum satellite zenith angle                             ,                  56 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                 100 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2017-02-24 23:25:50 
! Statistics:
!  Product Name , SeaWiFS Range       , In situ Range       , #    , Best Fit Slope , Best Fit Intercept , R2      , Median Ratio , Median % Difference , RMSE    
!  chlor_a      , 0.028178 - 21.02202 , 0.028178 - 21.02202 , 1281 ,        0.88038 ,           -0.03272 , 0.79839 ,      1.02908 ,            33.97579 , 0.26660 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a
/end_header
26061,-60.36000000,-63.99000000,2002-01-26 15:26:00,ioffe01,S2002026143940.L2_MLAC.R0000021031_60S_60S_64W_63W.hdf_OCVAL_ioffe01_26061_B5.tar,0.00000000,25,-786,43.84,23.78,0.015,3.643,0.09209100,chlor_a,0.07580208
4442,-60.30300000,-56.59600000,2001-02-18 17:25:00,amlr2001,S2001049145015.L2_MLAC.R0000020336_60S_60S_56W_56W.hdf_OCVAL_amlr2001_4442_B5.tar,5.10000000,25,-7190,49.27,41.07,0.034,6.795,-999,rrs,-999
211308,-60.25390000,-56.49180000,2006-01-22 16:53:00,amlr2006_leg1,S2006022141808.L2_MLAC.R0000020340_60S_60S_56W_56W.hdf_OCVAL_amlr2006_leg1_211308_B5.tar,3.15000000,25,-7315,42.33,39.29,0.047,9.685,-999,rrs,-999
211306,-60.22010000,-57.48940000,2006-01-20 17:55:00,amlr2006_leg1,S2006020143551.L2_MLAC.R0000020340_60S_60S_57W_57W.hdf_OCVAL_amlr2006_leg1_211306_B5.tar,92.45000000,25,-9988,41.23,30.42,0.018,6.526,-999,rrs,-999
26062,-60.16000000,-64.16000000,2002-01-26 16:26:00,ioffe01,S2002026143940.L2_MLAC.R0000021031_60S_60S_64W_63W.hdf_OCVAL_ioffe01_26062_B5.tar,0.00000000,25,-4388,43.70,24.30,0.017,3.619,0.09691500,chlor_a,0.07610544
17382,-60.00500000,-53.59600000,2000-03-04 14:04:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_17382_B5.tar,0.00000000,25,930,56.28,29.03,0.057,3.658,0.66166500,chlor_a,1.10099995
4424,-60.00500000,-53.59600000,2000-03-04 14:04:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_4424_B5.tar,33.60000000,25,930,56.28,29.03,0.057,3.658,-999,rrs,-999
17383,-60.00100000,-53.29800000,2000-03-04 17:10:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_17383_B5.tar,0.00000000,25,-10231,56.21,28.31,0.100,3.635,0.78961700,chlor_a,1.96399999
4425,-60.00100000,-53.29800000,2000-03-04 17:10:00,amlr2000,S2000064134454.L2_MLAC.R0000020335_60S_60S_53W_53W.hdf_OCVAL_amlr2000_4425_B5.tar,47.00000000,25,-10231,56.21,28.31,0.100,3.635,-999,rrs,-999
26045,-57.83000000,-63.87000000,2001-12-31 16:10:00,ioffe01,S2001365143110.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26045_B5.tar,0.00000000,25,-4043,37.37,33.88,0.025,10.736,0.14184300,chlor_a,0.34916735
26044,-57.66000000,-64.02000000,2001-12-31 15:10:00,ioffe01,S2001365143110.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26044_B5.tar,0.00000000,25,-445,37.26,34.66,0.023,10.900,0.13724600,chlor_a,0.38235685
26056,-57.58000000,-63.31000000,2002-01-09 16:57:00,ioffe01,S2002009141531.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26056_B5.tar,0.00000000,25,-7776,39.31,43.56,0.022,10.019,0.10982600,chlor_a,0.25141907
26290,-57.52800000,-64.15000000,2002-02-27 17:00:00,ioffe01,S2002058153722.L2_MLAC.R0000021031_56S_57S_64W_64W.hdf_OCVAL_ioffe01_26290_B5.tar,8.20000000,25,-2865,49.41,48.73,0.036,2.263,-999,rrs,-999
26043,-57.45000000,-64.23000000,2001-12-31 14:10:00,ioffe01,S2001365143110.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26043_B5.tar,0.00000000,25,3152,37.13,35.79,0.013,11.046,0.10796300,chlor_a,0.27742273
26084,-57.38000000,-64.13000000,2002-02-27 16:55:00,ioffe01,S2002058153722.L2_MLAC.R0000021031_56S_57S_64W_64W.hdf_OCVAL_ioffe01_26084_B5.tar,0.00000000,25,-2567,49.25,48.63,0.016,1.874,0.10423400,chlor_a,0.10580628
26055,-57.38000000,-63.56000000,2002-01-09 15:57:00,ioffe01,S2002009141531.L2_MLAC.R0000021031_57S_57S_64W_63W.hdf_OCVAL_ioffe01_26055_B5.tar,0.00000000,25,-4178,39.24,44.58,0.018,10.088,0.11874300,chlor_a,0.26788583
9366,-57.34000000,-64.24362000,2002-02-27 16:16:00,ioffe01,S2002058153722.L2_MLAC.R0000021031_56S_57S_64W_64W.hdf_OCVAL_ioffe01_9366_B5.tar,0.00000000,25,-228,49.22,48.34,0.019,1.669,-999,aot,-999
26289,-57.33600000,-64.32700000,2002-02-27 15:57:00,ioffe01,S2002058153722.L2_MLAC.R0000021031_56S_57S_64W_64W.hdf_OCVAL_ioffe01_26289_B5.tar,8.10000000,25,912,49.22,48.15,0.013,1.590,-999,rrs,-999
